file,fps,width,height,frames,duration_s,size_mb,codec,exclude_from_training,notes
01 - Slow Motion Treadmill Running - Shod Side View.mp4,29.97,480,360,949,31.66,5.02,h264,,
02 - Running at 13km⧸h - Side View.mp4,30.0,360,450,300,10.0,1.64,h264,,
03 - Running at 15km⧸h - Side View.mp4,30.0,360,450,300,10.0,1.74,h264,,
06 - Running on a treadmill at 15km⧸h - Side View.mp4,9.463,360,450,560,59.18,12.05,h264,,slow-motion ~8x
08 - Treadmill Running Technique - How to run safely on a treadmill.__segment_1__cropped.mp4,29.97,320,360,660,22.02,0.87,h264,,
08 - Treadmill Running Technique - How to run safely on a treadmill.__segment_2__cropped.mp4,29.97,320,360,300,10.01,0.36,h264,,
09 - RUNNING FORM ANALYSIS AT MARATHON PACE： SAGE CANADAY TREADMILL TECHNIQUE__segment_3__cropped__segment_1.mp4,29.97,512,360,892,29.76,1.38,h264,,wycięty z oryginału kl.0-893 (przed luką bez detekcji)
09 - RUNNING FORM ANALYSIS AT MARATHON PACE： SAGE CANADAY TREADMILL TECHNIQUE__segment_3__cropped__segment_2.mp4,29.97,512,360,438,14.61,0.8,h264,,wycięty z oryginału kl.1060-1497 (po luce bez detekcji)
15 - Mechanics of running at 4m⧸s (~4.15min⧸km).mp4,13.333,360,450,800,60.0,7.7,h264,,slow-motion ~5x
16 - Running at 5 m⧸s.mp4,13.333,360,450,800,60.0,8.01,h264,True,13 FPS — przeniesiony do test_edge_cases
18 - Running while wearing a hip exoskeleton ｜ Wearable Robotics ｜ Augmentation ｜ Biomechanics__segment_2__cropped.mp4,23.976,448,360,768,32.03,0.93,h264,,keypointy wyekstrahowane ale brak etykiet faz
19 - Barefoot running in slow motion at 16km⧸h.mp4,11.25,364,360,900,80.0,8.81,h264,,slow-motion ~8x barefoot
20 - Running (0.8 to 3.5 m⧸s)__segment_1.mp4,30.0,640,360,870,29.0,1.58,h264,,przejście chód→bieg
22 - Running Analysis with Physiotherapist.mp4,29.97,608,1080,320,10.68,1.73,h264,,pionowe wideo
23 - Pawel bieg__segment_1.mp4,29.97,1280,720,1649,55.02,16.22,h264,,"nowy biegacz: Pawel; oryginał 4K w _originals_4k/; zresizowany do 720p przed ekstrakcją"
24 - Adam bieg__segment_1.mov,29.988,1920,1080,2399,80.0,27.29,h264,,nowy biegacz: Adam (FHD bez zmian)
Running at 4ms - Side View.mp4,15.0,600,800,750,50.0,3.4,h264,,slow-motion ~5x
